,Unnamed: 0,name,zip code
0,0,Silver Lake,90039
1,1,Downtown Los Angeles,90017
2,2,3rd & Fairfax,90036
3,3,Culver City,90016
4,4,Westwood,90024
5,5,West Los Angeles,90064
6,6,Brentwood,90049
