,Unnamed: 0,name,zip code
0,0,Beverly Hills,90210
1,1,Calabasas,91302
2,2,Culver City,90232
3,3,Grove,90036
4,4,MLK,90058
5,5,Manhattan Beach,90266
6,6,Palisades,90272
7,7,Pasadena,91101
8,8,Santa Monica,90403
9,9,Silver Lake,90029
10,10,Studio City,91604
11,11,Venice,90291
