,Unnamed: 0,Name,Min Price,Max Price,Zip Code
546,546,Nari Koreatown,2160,3520.0,90010
547,547,The Chadwick,1672,3468.0,90004
548,548,Palazzo East Apartments,3110,4182.0,90036
549,549,Madrid,2180,2326.0,90045
550,550,THEA at Metropolis,2738,4355.0,90017
551,551,AVA Toluca Hills,2435,2710.0,90068
552,552,Vision on Wilshire,4503,5073.0,90048
553,553,The Q Playa,2681,4811.0,90045
554,554,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
555,555,ZEN Hollywood,3750,3995.0,90028
556,556,&Pico,3516,4863.0,90064
557,557,One Museum Square,4040,5750.0,90036
558,558,The Gemma,2585,2750.0,90010
559,559,Ferrante,2139,4902.0,90012
560,560,sageLA - Brand New,2395,4670.0,90004
561,561,Arya,4050,4200.0,90034
562,562,The Amara,3145,3330.0,90025
563,563,888 at Grand Hope Park,2435,4350.0,90017
565,565,TENTEN WILSHIRE,2750,4095.0,90017
566,566,VOX,3190,4670.0,90016
567,567,The BORA 3170,2250,3152.0,90006
568,568,Beaudry,2925,7994.0,90017
569,569,Hallasan,3523,4358.0,90005
571,571,951 S. Oxford,1598,1698.0,90006
572,572,Park Wilshire,1885,2370.0,90057
573,573,Violet on Virgil,2175,2518.0,90004
574,574,Broadway Palace,2057,4044.0,90015
575,575,Linea,3000,4010.0,90064
576,576,The Landmark Los Angeles,5080,7990.0,90025
577,577,Circa LA,2510,4236.0,90015
578,578,Arrive Wakaba,2474,3324.0,90012
580,580,Archer,2455,2594.0,90028
581,581,Lumina Hollywood,2850,3546.0,90028
582,582,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
583,583,Park Fifth,2658,4365.0,90013
584,584,TENTEN Downtown,2400,3874.0,90017
585,585,Josephine DTLA,2433,3520.0,90017
586,586,Nari Koreatown,2160,3520.0,90010
587,587,The Chadwick,1672,3468.0,90004
588,588,Palazzo East Apartments,3110,4182.0,90036
589,589,Madrid,2180,2326.0,90045
590,590,THEA at Metropolis,2738,4355.0,90017
591,591,AVA Toluca Hills,2435,2710.0,90068
592,592,Vision on Wilshire,4503,5073.0,90048
593,593,The Q Playa,2681,4811.0,90045
594,594,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
595,595,ZEN Hollywood,3750,3995.0,90028
596,596,&Pico,3516,4863.0,90064
597,597,One Museum Square,4040,5750.0,90036
598,598,The Gemma,2585,2750.0,90010
599,599,Ferrante,2139,4902.0,90012
600,600,sageLA - Brand New,2395,4670.0,90004
601,601,Arya,4050,4200.0,90034
602,602,The Amara,3145,3330.0,90025
603,603,888 at Grand Hope Park,2435,4350.0,90017
605,605,TENTEN WILSHIRE,2750,4095.0,90017
606,606,VOX,3190,4670.0,90016
607,607,The BORA 3170,2250,3152.0,90006
608,608,Beaudry,2925,7994.0,90017
609,609,Hallasan,3523,4358.0,90005
611,611,951 S. Oxford,1598,1698.0,90006
612,612,Park Wilshire,1885,2370.0,90057
613,613,Violet on Virgil,2175,2518.0,90004
614,614,Broadway Palace,2057,4044.0,90015
615,615,Linea,3000,4010.0,90064
616,616,The Landmark Los Angeles,5080,7990.0,90025
617,617,Circa LA,2510,4236.0,90015
618,618,Arrive Wakaba,2474,3324.0,90012
620,620,Archer,2455,2594.0,90028
621,621,Lumina Hollywood,2850,3546.0,90028
622,622,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
623,623,Park Fifth,2658,4365.0,90013
624,624,TENTEN Downtown,2400,3874.0,90017
625,625,Josephine DTLA,2433,3520.0,90017
626,626,Nari Koreatown,2160,3520.0,90010
627,627,The Chadwick,1672,3468.0,90004
628,628,Palazzo East Apartments,3110,4182.0,90036
629,629,Madrid,2180,2326.0,90045
