,Unnamed: 0,Name,Min Price,Max Price,Zip Code
353,353,The Q Playa,2681,4811.0,90045
354,354,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
355,355,ZEN Hollywood,3750,3995.0,90028
356,356,&Pico,3516,4863.0,90064
357,357,One Museum Square,4040,5750.0,90036
358,358,The Gemma,2585,2750.0,90010
359,359,Ferrante,2139,4902.0,90012
360,360,sageLA - Brand New,2395,4670.0,90004
361,361,Arya,4050,4200.0,90034
362,362,The Amara,3145,3330.0,90025
363,363,888 at Grand Hope Park,2435,4350.0,90017
365,365,TENTEN WILSHIRE,2750,4095.0,90017
366,366,VOX,3190,4670.0,90016
367,367,The BORA 3170,2250,3152.0,90006
368,368,Beaudry,2925,7994.0,90017
369,369,Hallasan,3523,4358.0,90005
371,371,951 S. Oxford,1598,1698.0,90006
372,372,Park Wilshire,1885,2370.0,90057
373,373,Violet on Virgil,2175,2518.0,90004
374,374,Broadway Palace,2057,4044.0,90015
375,375,Linea,3000,4010.0,90064
376,376,The Landmark Los Angeles,5080,7990.0,90025
377,377,Circa LA,2510,4236.0,90015
378,378,Arrive Wakaba,2474,3324.0,90012
380,380,Archer,2455,2594.0,90028
381,381,Lumina Hollywood,2850,3546.0,90028
382,382,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
383,383,Park Fifth,2658,4365.0,90013
384,384,TENTEN Downtown,2400,3874.0,90017
385,385,Josephine DTLA,2433,3520.0,90017
386,386,Nari Koreatown,2160,3520.0,90010
