,Unnamed: 0,name,zip code
1,1,6th Burlington,90017
2,2,Boyle Heights,90033
3,3,Olympic Hoover,90006
6,6,Unicentro ANGELUS,90023
8,8,WesternVenice,90006
9,9,Jefferson Park,90018
10,10,54th Main,90037
11,11,Highland Park,90042
12,12,El Sereno,90032
14,14,Margarita Plaza,90255
16,16,Maywood,90270
